Plant Name,Family,Book,Page start,Page end,1. Flowering 🌼,2. Fruiting 🍊,2A. Dormancy💤,3. Deciduous 🍂,4. Bulbous root 🥔,4A. Rhizomatous 🌾,5. Water Plant 🌊?,5A. Perennial♾️,6. Herb 🌿,7. Shrub🌴,8. Tree🌳,9. Climber🧗‍♀️,10. Creep-ing🐌,11. Succu-lent🌵,11A. Tropical rainforest habitat☔,11B. Insectivorous🦟,11C. Parasitic 🧛,12. Full Sun ☀️,13. Semi-Shade 🌤️,14. Shade ☁️,15. Hot 🔥,16. Warm 🌡️,17. Cold ❄️,18. Wind Tolerant 💨?,18A. Wind Sensitive🛡️,19. Cold-phobia 😨?,20. Salt Tolerant 🧂,21. Drought tolerant🏜️,22. Moist 💧,23. Requring lots of water 🌧️,23A. Moist-phobia🚫,24. Drought-sensitive🥀,25. Thermo-sensitive 🥵,25A. Barren tolerant🗿,25B. Antipollution 🔄,26. Lightly toxic🟡,27. Toxic🟠,28. Heavily toxic 🔴,Count of cell with logo,,,,
Passiflora murucuja,Passifloraceae,2,156,,1-12,,,,,,,,🌿,,,🧗‍♀️,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,,,8,,,,
Passiflora picturata,Passifloraceae,2,156,,,,,,,,,,🌿,,,🧗‍♀️,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,7,,,,
Passiflora sp.,Passifloraceae,2,157,,1-10,8-11,,,,,,,🌿,,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,6,,,,
Passiflora suberosa,Passifloraceae,2,157,,4-1,4-1,,,,,,,🌿,,,🧗‍♀️,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,7,,,,
Passiflora trifasciata,Passifloraceae,2,158,,5-6,,,,,,,,🌿,,,🧗‍♀️,,,,,,,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,6,,,,
Passiflora tulae,Passifloraceae,2,158,,5-10,,,,,,,,🌿,,,🧗‍♀️,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,7,,,,
Acacia auriculiformis,Mimosaceae,2,159,,6-11,8-1,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,💨,,,,🏜️,,🌧️,,,,🗿,,,,,8,,,,
Passiflora x violacea,Passifloraceae,2,159,,4-10,,,,,,,,🌿,,,🧗‍♀️,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,7,,,,
Acacia confusa,Mimosaceae,2,160,,4-5,,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,💨,,,,🏜️,,,,,,,,,,,5,,,,
Acacia dealbata,Mimosaceae,2,160,,2-3,,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,❄️,,,,,🏜️,💧,,,,,,,,,,6,,,,
Acacia mangium,Mimosaceae,2,161,,9-12,,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,💨,,,,🏜️,,,,,,,,,,,5,,,,
Acacia podalyriifolia,Mimosaceae,2,161,,1-3,5,,,,,,,,🌴,🌳,,,,,,,☀️,,,,,❄️,,,,,🏜️,,,,,,,,,,,5,,,,
Acacia saligna,Mimosaceae,2,162,,3-4,,,,,,,,,🌴,🌳,,,,,,,☀️,,,🔥,,❄️,💨,,,🧂,🏜️,,,,,,🗿,,,,,9,,,,
Adenanthera microsperma,Mimosaceae,2,162,,6-9,7-10,,,,,,,,,🌳,,,,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,🟠,,5,,,,
Albizia chinensis,Mimosaceae,2,163,,3-6,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Albizia lebbeck,Mimosaceae,2,163,,5-10,5-10,,🍂,,,,,,,🌳,,,,,,,☀️,🌤️,,🔥,,,💨,,,,🏜️,,,,,,,,,🟠,,8,,,,
Albizia julibrissin,Mimosaceae,2,164,,6-9,8-10,,🍂,,,,,,🌴,🌳,,,,,,,☀️,,,,🌡️,❄️,,,,,🏜️,,,,,,🗿,,,,,8,,,,
Archidendron clypearia (Abarema clypearia),Mimosaceae,2,164,,2-6,4-8,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Calliandra brevipes,Mimosaceae,2,165,,3-9,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,,,,,,,🏜️,,,🚫,,,,,,,,6,,,,
Calliandra haematocephala,Mimosaceae,2,165,,5-10,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,,,,,,,,💧,,,,,,,,,,5,,,,
Calliandra haematocephala ‘Alba’,Mimosaceae,2,166,,3-4,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,,,,,,,,💧,,,,,,,,,,5,,,,
Calliandra surinamensis,Mimosaceae,2,166,,6-10,8-10,,🍂,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,🏜️,💧,,,,,,,,,,7,,,,
Calliandra tergemina var. emarginata,Mimosaceae,2,167,,5-10,,,🍂,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,,,,,,,,💧,,,,,,,,,,6,,,,
Leucaena leucocephala,Mimosaceae,2,167,,6-12,7-1,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,🗿,,,🟠,,7,,,,
Mimosa bimucronata,Mimosaceae,2,168,,6-10,2-3,,🍂,,,,,,🌴,🌳,,,,,,,☀️,,,,🌡️,,,,,,🏜️,💧,,,,,,,,,,7,,,,
Mimosa diplotricha var. inermis,Mimosaceae,2,168,,,,,,,,,,🌿,,,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,🟠,,6,,,,
Mimosa pudica,Mimosaceae,2,168,,3-12,,,,,,,,🌿,,,,,,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,🟡,,,5,,,,
Neptunia oleracea,Mimosaceae,2,169,,1-12,1-12,,,,,🌊,,🌿,,,,,,,,,☀️,,,🔥,,❄️,,,,,,,🌧️,,,,,,,,,6,,,,
Parkia javanica,Mimosaceae,2,169,,,,,,,,,,,,🌳,,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,🏜️,,,,,,,,,,,6,,,,
Adenium obesum cultivarietas,Apocynaceae,2,170,171,3-11,,,🍂,,,,,,🌴,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,🟠,,7,,,,
Allamanda cathartica,Apocynaceae,2,172,,5-12,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,,🟠,,5,,,,
Allamanda cathartica cultivarietas,Apocynaceae,2,172,,1-12,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,,,,4,,,,
Allamanda cathartica ‘Stansill’s Double’,Apocynaceae,2,173,,5-12,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,,,,4,,,,
Allamanda oenotheraefolia,Apocynaceae,2,173,,5-11,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,,🟠,,5,,,,
Allamanda schottii,Apocynaceae,2,174,,5-10,10-12,,,,,,,,🌴,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,,🟠,,6,,,,
Allamanda violacea,Apocynaceae,2,174,,3-12,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,😨,,🏜️,💧,,,,,,,,🟠,,8,,,,
Allamanda violacea cultivarietas,Apocynaceae,2,175,,3-12,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,😨,,🏜️,💧,,,,,,,,🟠,,8,,,,
Alstonia scholaris,Apocynaceae,2,175,,7-10,11-2,,,,,,,,,🌳,,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,,🟠,,5,,,,
Beaumontia grandiflora,Apocynaceae,2,176,,3-4,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,🏜️,💧,,,,,,,,,,5,,,,
Beaumontia sp.,Apocynaceae,2,176,,3-4,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Carissa carandas,Apocynaceae,2,177,,3-9,8-12,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,🏜️,💧,,,,,,,,,,5,,,,
Carissa congesta,Apocynaceae,2,177,,3-8,6-12,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,🌡️,,💨,,😨,🧂,🏜️,,,,,,,,🟡,,,10,,,,
Carissa macrocarpa ‘Variegata’,Apocynaceae,2,177,,,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,,,🏜️,💧,,,,,,,,,,5,,,,
Catharanthus roseus,Apocynaceae,2,178,,1-12,,,,,,,,🌿,,,,,,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,🟠,,5,,,,
Catharanthus roseus cultivarietas,Apocynaceae,2,178,,1-12,,,,,,,,🌿,,,,,,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,🟠,,5,,,,
Cerbera manghas,Apocynaceae,2,179,,7-12,,,,,,,,,,🌳,,,,,,,☀️,🌤️,,🔥,,,💨,,,🧂,🏜️,,,,,,,,,,🔴,8,,,,
Cerbera odollam,Apocynaceae,2,179,,5-10,9-11,,,,,,,,,🌳,,,,,,,☀️,🌤️,,🔥,,,💨,,,🧂,🏜️,,,,,,,,,,🔴,8,,,,
Chonemorpha macrophylla,Apocynaceae,2,180,,6-8,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,🟠,,6,,,,
Kopsia fruticosa,Apocynaceae,2,180,,5-11,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,❄️,,,,,🏜️,💧,,,,,,,,,,7,,,,
Mandevilla boliviensis,Apocynaceae,2,181,,5-12,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,,🟠,,5,,,,
Mandevilla hybrid,Apocynaceae,2,181,,5-11,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,😨,,,💧,,,,,,,,,,5,,,,
Melodinus suaveolens,Apocynaceae,2,182,,5-11,5-12,,,,,,,,,,🧗‍♀️,,,,,,,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,🔴,5,,,,
Nerium indicum,Apocynaceae,2,182,,1-12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,,,🏜️,,🌧️,,,,,,,,🔴,6,,,,
Nerium indicum cultivarietas,Apocynaceae,2,183,,1-12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,,,🏜️,💧,🌧️,,,,,,,,🔴,7,,,,
Pachypodium baronii var. baronii,Apocynaceae,2,184,,3-8,,12-3,,,,,,,🌴,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,5,,,,
Pachypodium baronii var. windsorii,Apocynaceae,2,184,,3-8,,12-3,,,,,,,🌴,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,5,,,,
Pachypodium bispinosum,Apocynaceae,2,184,,3-8,,12-3,,,,,,,🌴,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,5,,,,
Pachypodium brevicaule,Apocynaceae,2,185,,2-8,,,,,,,,,🌴,,,,🌵,,,,☀️,,,,,❄️,,,,,🏜️,,,,,,,,,,,5,,,,
Pachypodium brevicaule ‘Alba’,Apocynaceae,2,185,,2-8,,12-3,,,,,,,🌴,,,,🌵,,,,☀️,,,,,❄️,,,,,🏜️,,,,,,,,,,,5,,,,
Pachypodium densiflorum var. brevicalyx,Apocynaceae,2,185,,3-8,,12-3,,,,,,,🌴,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,5,,,,
Pachypodium eburneum,Apocynaceae,2,186,,3-8,,12-3,,,,,,,🌴,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,5,,,,
Pachypodium lamerei,Apocynaceae,2,186,,3-8,,12-3,,,,,,,🌴,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,5,,,,
Pachypodium rosulatum,Apocynaceae,2,187,,3-8,,12-3,,,,,,,🌴,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,5,,,,
Pachypodium saundersii,Apocynaceae,2,187,,3-8,,12-3,,,,,,,🌴,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,5,,,,
Plumeria acutifolia,Apocynaceae,2,188,,5-12,8-3,,🍂,,,,,,,🌳,,,,,,,☀️,,,🔥,,,,,😨,,🏜️,,,,,,,,,,,6,,,,
Plumeria obtusa,Apocynaceae,2,188,,5-12,8-3,,🍂,,,,,,,🌳,,,,,,,☀️,,,🔥,,,,,😨,,🏜️,💧,,,,,,,,,,7,,,,
Plumeria pudica,Apocynaceae,2,189,,3-10,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,,,,,😨,,🏜️,,,,,,,,,,,5,,,,
Plumeria pudica ‘Variegata’,Apocynaceae,2,189,,3-10,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,,,,,😨,,🏜️,,,,,,,,,,,5,,,,
Plumeria hybrid,Apocynaceae,2,190,191,5-12,8-3,,,,,,,,,🌳,,,,,,,☀️,,,🔥,,,,,😨,,🏜️,,,,,,,,,,,5,,,,
Rauvolfia verticillata,Apocynaceae,2,192,,4-7,6-8,,,,,,,,🌴,,,,,,,,,🌤️,☁️,,🌡️,,,,,,,💧,,,,,,,🟡,,,6,,,,
Strophanthus divaricatus,Apocynaceae,2,192,,4-7,8-11,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,,🌡️,,,,,,🏜️,,,,,,,,,,🔴,5,,,,
Tabernaemontana divaricata ‘Flore Pleno’,Apocynaceae,2,193,,5-11,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,,,,4,,,,
Tabernaemontana divaricata ‘Variegata’,Apocynaceae,2,193,,5-11,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,,,,,,,,💧,,,,,,,,,,5,,,,
Tabernaemontana pandacaqui,Apocynaceae,2,194,,3-9,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,😨,,🏜️,,,,,,,,,,,5,,,,
Tabernaemontana sp.,Apocynaceae,2,194,,1-12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,,,🏜️,💧,,,,,,,,,,5,,,,
Tabernaemontana subglobosa,Apocynaceae,2,195,,3-9,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,😨,,🏜️,💧,,,,,,,,,🔴,7,,,,
Thevetia peruviana,Apocynaceae,2,195,,5-12,,,,,,,,,🌴,🌳,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,🟠,,6,,,,
Thevetia peruviana ‘Aurantiana’,Apocynaceae,2,196,,1-12,1-12,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,,🟠,,5,,,,
Trachelospermum jasminoides,Apocynaceae,2,196,,4-6,,,,,,,,,,,🧗‍♀️,,,,,,☀️,🌤️,,🔥,🌡️,❄️,,,,,,💧,,,,,,,🟡,,,8,,,,
Trachelospermum jasminoides cultivarietas,Apocynaceae,2,197,,4-6,,,,,,,,,,,🧗‍♀️,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,🟡,,,7,,,,
Urechites lutea,Apocynaceae,2,197,,6-10,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,,🌡️,,,,😨,,,💧,,,,,,,,🟠,,6,,,,
Vallaris glabra,Apocynaceae,2,198,,5-8,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,,,,4,,,,
Vinca minor,Apocynaceae,2,198,,4-6,,,,,,,,🌿,,,,🐌,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Vinca minor ‘Variegata’,Apocynaceae,2,199,,4-6,,,,,,,,🌿,,,,🐌,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Wrightia antidysenterica,Apocynaceae,2,199,,5-10,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,😨,,🏜️,💧,🌧️,,,,,,,,,7,,,,
Wrightia laevis,Apocynaceae,2,200,,5,,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,🟡,,,5,,,,
Wrightia religiosa,Apocynaceae,2,200,,5-10,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,😨,,,💧,,,,,,,,,,5,,,,
Abelia x grandiflora,Caprifoliaceae,2,201,,6-10,,,,,,,,,🌴,,,,,,,,☀️,,,,🌡️,❄️,,,,,,💧,,,,,,,,,,5,,,,
Wrightia religiosa cultivarietas,Apocynaceae,2,201,,5-10,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,😨,,,💧,,,,,,,,,,5,,,,
Lonicera confusa,Caprifoliaceae,2,202,,1-12,,,,,,,,,,,🧗‍♀️,,,,,,☀️,🌤️,,,,❄️,,,,,,💧,,,,,,,,,,5,,,,
Lonicera japonica,Caprifoliaceae,2,202,,1-12,,,,,,,,,,,🧗‍♀️,,,,,,☀️,🌤️,,,,❄️,,,,,,💧,,,,,,,,,,5,,,,
Lonicera macrantha,Caprifoliaceae,2,203,,3-4,,,,,,,,,,,🧗‍♀️,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,🗿,,,,,7,,,,
Lonicera periclymenum,Caprifoliaceae,2,203,,5-9,,,,,,,,,,,🧗‍♀️,,,,,,☀️,🌤️,,,,❄️,,,,,🏜️,💧,,,,,🗿,,,,,7,,,,
Lonicera sempervirens,Caprifoliaceae,2,204,,1-8,7-8,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Sambucus javanica,Caprifoliaceae,2,204,,8-10,10-11,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Viburnum hanceanum,Caprifoliaceae,2,205,,3-5,,,,,,,,,🌴,,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Viburnum odoratissimum,Caprifoliaceae,2,205,,6-7,7,,,,,,,,🌴,🌳,,,,,,,☀️,,,🔥,🌡️,❄️,,,,,,💧,,,,,,,,,,7,,,,
Viburnum tinus,Caprifoliaceae,2,206,,1-4,6-7,,,,,,,,,,,,,,,,☀️,,☁️,,,❄️,,,,,🏜️,💧,,🚫,,,,,,,,6,,,,
Weigela florida,Caprifoliaceae,2,206,,4-11,,,🍂,,,,,,🌴,,,,,,,,☀️,,,,🌡️,❄️,,,,,,💧,,,,,,,,,,6,,,,
Tropaeolum majus,Tropaeolaceae,2,207,,1-5,,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,🥵,,,,,,5,,,,
Tropaeolum majus ‘Variegata’,Tropaeolaceae,2,207,,1-5,,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,🥵,,,,,,5,,,,
Cunninghamia lanceolata,Taxodiaceae,2,208,,3-4,7-11,,,,,,,,,🌳,,,,,,,☀️,,,,,❄️,,,,,🏜️,💧,,,,,,,,,,5,,,,
Glyptostrobus pensilis,Taxodiaceae,2,208,,1-2,5,,,,,🌊,,,,🌳,,,,,,,☀️,,,,🌡️,,,,,,,,🌧️,,,,,,,,,5,,,,
Metasequoia glyptostroboides,Taxodiaceae,2,209,,8-11,,,🍂,,,,,,,🌳,,,,,,,☀️,,,🔥,,❄️,,,,,,,🌧️,,,,,,,,,6,,,,
Taxodium ascendens,Taxodiaceae,2,209,,3-4,8-11,,,,,🌊,,,,🌳,,,,,,,☀️,,,🔥,,❄️,,,,,,,🌧️,,,,,,,,,6,,,,
Taxodium distichum,Taxodiaceae,2,210,,3-4,10-11,,🍂,,,🌊,,,,🌳,,,,,,,☀️,,,🔥,,❄️,,,,,,,,,,,,,,,,6,,,,
Elaeocarpus apiculatus,Elaeocarpaceae,2,211,,4-5,8,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Elaeocarpus balansae,Elaeocarpaceae,2,211,,4-5,6-7,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Elaeocarpus hainanensis,Elaeocarpaceae,2,212,,5-7,,,,,,🌊,,,,🌳,,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,,,,5,,,,
Enkianthus quinqueflorus,Ericaceae,2,212,,3-4,,,🍂,,,,,,🌴,,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Erica regia,Ericaceae,2,213,,1-12,,,,,,,,,🌴,,,,,,,,☀️,,,,,❄️,,,,,,💧,,,,,,,,,,4,,,,
Erica sp.,Ericaceae,2,213,,,,,,,,,,,🌴,,,,,,,,☀️,,,,,❄️,,,,,,,,🚫,,🥵,,,,,,5,,,,
Pernettya mucronata ‘Atrococcinea’,Ericaceae,2,214,,4-9,12-3,,,,,,,,🌴,,,,,,,,☀️,,,,🌡️,❄️,,,,,,💧,,,,,,,,,,5,,,,
Pieris taiwanensis,Ericaceae,2,214,,2-4,9-10,,,,,,,,🌴,,,,,,,,☀️,,,,🌡️,❄️,,,,,,💧,,,,,,,,,🔴,6,,,,
Rhododendron decorum,Ericaceae,2,215,,3-4,9-10,,,,,,,,🌴,🌳,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,6,,,,
Rhododendron delavayi,Ericaceae,2,215,,3-5,11,,,,,,,,,,,,,,,,,,,,,❄️,,,,,🏜️,💧,,,,,,,🟡,,,4,,,,
Rhododendron macrosepalum ‘Linearifolium’,Ericaceae,2,216,,3-4,,,,,,,,,🌴,,,,,,,,,🌤️,,,,❄️,,,,,,💧,,,,,,,,,,4,,,,
Rhododendron molle,Ericaceae,2,216,,3-5,,,🍂,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,🔴,7,,,,
Rhododendron moulmainense (Rhododendron westlandii),Ericaceae,2,216,,4-5,8-9,,,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Rhododendron mucronatum,Ericaceae,2,217,,3-4,,,🍂,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,🟡,,,7,,,,
Rhododendron przewalskii,Ericaceae,2,217,,3-4,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Rhododendron pulchrum,Ericaceae,2,218,,3-4,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Rhododendron pulchrum var. phoeniceum,Ericaceae,2,218,,3-4,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Rhododendron simsii,Ericaceae,2,219,,2-4,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,🟠,,6,,,,
Rhododendron sp.,Ericaceae,2,219,220,3-5,,,,,,,,,,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Rhododendron vireya cultivarietas,Ericaceae,2,221,,3-8,,,,,,,,,🌴,,,,,☔,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Vaccinium corymbosum,Ericaceae,2,221,,3-5,,,🍂,,,,,,🌴,,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,🥵,,,,,,6,,,,
Cocculus orbiculatus,Menispermaceae,2,222,,5-7,6-10,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,,🌡️,,,,,,🏜️,,,,,,,,,,,4,,,,
Stephania cepharantha,Menispermaceae,2,222,,6-8,6-8,,,,🌾,,,,,,🧗‍♀️,,,,,,☀️,,,,🌡️,,,,,,🏜️,,,,,,,,,,🔴,6,,,,
Plantago asiatica ‘Variegata’,Plantaginaceae,2,223,,4-1,4-1,,,,,,,🌿,,,,,,,,,☀️,🌤️,,🔥,,,,,,,🏜️,,,,,,🗿,,,,,6,,,,
Plantago major,Plantaginaceae,2,223,,4-1,4-1,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,,,,,,🏜️,💧,,,,,🗿,,,,,6,,,,
Combretum constrictum,Combretaceae,2,224,,4-6,,,,,,,,,,,🧗‍♀️,,,,,,☀️,🌤️,,🔥,,,,,,,,💧,,,,,,,,,,5,,,,
Quisqualis indica,Combretaceae,2,224,,6-11,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,🟡,,,5,,,,
Quisqualis indica ‘Double Flowered’,Combretaceae,2,225,,6-11,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,🟡,,,5,,,,
Terminalia arjuna,Combretaceae,2,225,,,,,,,,,,,,🌳,,,,,,,,🌤️,,🔥,🌡️,,💨,,,,,💧,🌧️,,,,,,🟡,,,8,,,,
Terminalia catappa,Combretaceae,2,226,,3-9,7-11,,🍂,,,,,,,🌳,,,,,,,☀️,🌤️,,🔥,,,,,,,,💧,,,,,,,🟡,,,7,,,,
Terminalia mantaly,Combretaceae,2,226,,3-4,,,🍂,,,,,,,🌳,,,,,,,☀️,,,🔥,,,💨,,,🧂,,💧,,,,,,,,,,7,,,,
Terminalia mantaly ‘Tricolor’,Combretaceae,2,227,,,,,🍂,,,,,,,🌳,,,,,,,☀️,,,🔥,,,,,,,,💧,,,,,,,,,,5,,,,
Terminalia muelleri,Combretaceae,2,227,,6-9,5,,🍂,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,💨,,,🧂,,💧,,,,,,,,,,8,,,,
Linaceae,,2,228,,#N/A,#N/A,,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,#N/A,#N/A,#N/A,26,,,,
Reinwardtia indica,Linaceae,2,228,,3-4,,,,,,,,,🌴,,,,,,,,,🌤️,,🔥,,,,,,,,💧,,,,,,,,,,4,,,,
Selaginella kraussiana,Selaginellaceae,2,228,,,,,,,,,,🌿,,,,,,☔,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Selaginella kraussiana ‘Brownii’,Selaginellaceae,2,228,,,,,,,,,,🌿,,,,,,☔,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Selaginella tamariscina,Selaginellaceae,2,229,,,,,,,,,,🌿,,,,,,☔,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Selaginella uncinata,Selaginellaceae,2,229,,,,,,,,,,🌿,,,,,,☔,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Xanthorrhoea preissii,Selaginellaceae,2,230,,1-12,1-12,,,,,,,🌿,,,,,,,,,☀️,,,🔥,,,,,,,,,,🚫,,,,,,,,4,,,,
